file,size_bytes,sha256
draw-set.zip,10326,a776ea1390beadfd3d6b35a4a2344257c34711b428ebe7508692e160c8b9a3b7
draw_Updated.xlsx,13199,4516097d51e23a222da079480c5bea767fbb7a5fb55c6344d7b4cf00ba84802a
